序号,市级指导部门,实施清单名称,,实施编码,事项类型,备注
23,东莞市水务局,对未经水行政主管部门或者流域管理机构审查同意，擅自在江河、湖泊新建、改建或者扩大排污口行为的处罚,《中华人民共和国水法》第六十七条第二款:未经水行政主管部门或者流域管理机构审查同意，擅自在江河、湖泊新建、改建或者扩大排污口的，由县级以上人民政府水行政主管部门或者流域管理机构依据职权，责令停止违法行为，限期恢复原状，处五万元以上十万元以下的罚款。,11441900007330248L3440213390000,行政处罚,20230112收回
24,东莞市水务局,对虽经县级以上地方人民政府水行政主管部门或者流域管理机构审查同意，但未按要求设置入河排污口行为的处罚,"《中华人民共和国水法》第六十七条 在饮用水水源保护区内设置排污口的，由县级以上地方人民政府责令限期拆除、恢复原状；逾期不拆除、不恢复原状的，强行拆除、恢复原状，并处五万元以上十万元以下的罚款。
未经水行政主管部门或者流域管理机构审查同意，擅自在江河、湖泊新建、改建或者扩大排污口的，由县级以上人民政府水行政主管部门或者流域管理机构依据职权，责令停止违法行为，限期恢复原状，处五万元以上十万元以下的罚款。",11441900007330248L3440213391000,行政处罚,20230112收回
25,东莞市水务局,对城市自来水供水企业或自建设施对外供水的企业供水水质、水压不符合国家规定标准；擅自停止供水或未履行停水通知义务；未按照规定检修供水设施或在供水设施发生故障后未及时抢修的行政处罚,"《城市供水条例》第三十三条 城市自来水供水企业或者自建设施对外供水的企业有下列行为之一的，由城市供水行政主管部门责令改正，可以处以罚款；情节严重的，报经县级以上人民政府批准，可以责令停业整顿；对负有直接责任的主管人员和其他直接责任人员，其所在单位或者上级机关可以给予行政处分：
（一）供水水质、水压不符合国家规定标准的；
（二）擅自停止供水或者未履行停水通知义务的；
（三）未按照规定检修供水设施或者在供水设施发生故障后未及时抢修的。",11441900007330248L3440214031000,行政处罚,
26,东莞市水务局,无证或超越资质证书规定的经营范围进行城市供水工程的设计或施工；未按国家规定的技术标准和规范进行城市供水工程的设计或施工；违反城市供水发展规划及其年度建设计划兴建城市供水工程的行政处罚,"　《城市供水条例》第三十四条 违反本条例规定，有下列行为之一的，由城市供水行政主管部门责令停止违法行为，可以处以罚款；对负有直接责任的主管人员和其他责任人员，其所在单位或者上级机关可以给予行政处分；

　　（一）无证或者超越资质证书规定的经营范围进行城市供水工程的设计或者施工的；

　　（二）未按国家规定的技术标准和规范进行城市供水工程的设计或者施工的；

　　（三）违反城市供水发展规划及其年度建设计划兴建城市供水工程的。",11441900007330248L3440214032000,行政处罚,
27,东莞市水务局,盗用或转供城市公共供水；在规定的城市公共供水管道及其附属设施的安全保护范围内进行危害供水设施安全活动；擅自将自建设施供水管网系统与城市公共供水管网系统连接；产生或使用有毒有害物质的单位将其生产用水管网系统与城市公共供水管网系统直接连接；在城市公共供水管道上直接装泵抽水；擅自拆除、改装或迁移城市公共供水设施的行政处罚,"《城市供水条例》第三十五条 违反本条例规定，有下列行为之一的，由城市供水行政主管部门或者其授权的单位责令限期改正，可以处以罚款：

　　（一）未按规定缴纳水费的；

　　（二）盗用或者转供城市公共供水的；

　　（三）在规定的城市公共供水管道及其附属设施的安全保护范围内进行危害供水设施安全活动的；

　　（四）擅自将自建设施供水管网系统与城市公共供水管网系统连接的；

　　（五）产生或者使用有毒有害物质的单位将其生产用水管网系统与城市公共供水管网系统直接连接的；

　　（六）在公共供水管道上直接装泵抽水的；

　　（七）擅自拆除、改装或者迁移城市公共供水设施的。有前款第（一）项、第（二）项、第（四）项、第（五）项、第（六）项、第（七）项所列行为之一，情节严重的，经县级以上人民政府批准，还可以在一定时间内停止供水。",11441900007330248L3440214033000,行政处罚,
28,东莞市水务局,对建设工程施工危害城市公共供水设施的行政处罚,《城市供水条例》第三十六条 建设工程施工危害城市公共供水设施的，由城市供水行政主管部门责令停止危害活动；造成损失的，由责任方依法赔偿损失；对负有直接责任的主管人员和其他直接责任人员，其所在单位或者上级机关可以给予行政处分。,11441900007330248L3440214035000,行政处罚,
29,东莞市水务局,对城市供水单位供水水质达不到国家有关标准规定；城市供水单位、二次供水管理单位未按规定进行水质检测或委托检测；对实施生产许可证管理的净水剂及与制水有关的材料等，选用未获证企业产品；城市供水单位使用未经检验或检验不合格的净水剂及有关制水材料；城市供水单位使用未经检验或检验不合格的城市供水设备、管网；二次供水管理单位，未按规定对各类储水设施进行清洗消毒；城市供水单位、二次供水管理单位隐瞒、缓报、谎报水质突发事件或水质信息；违反规定，有危害城市供水水质安全的其他行为的行政处罚,"　　《城市供水水质管理规定》　　第二十九条　违反本规定，有下列行为之一的，由直辖市、市、县人民政府城市供水主管部门给予警告，并处以3万元的罚款：
　　（一）供水水质达不到国家有关标准规定的；
　　（二）城市供水单位、二次供水管理单位未按规定进行水质检测或者委托检测的；
　　（三）对于实施生产许可证管理的净水剂及与制水有关的材料等，选用未获证企业产品的；
　　（四）城市供水单位使用未经检验或者检验不合格的净水剂及有关制水材料的；
　　（五）城市供水单位使用未经检验或者检验不合格的城市供水设备、管网的；
　　（六）二次供水管理单位，未按规定对各类储水设施进行清洗消毒的；
　　（七）城市供水单位、二次供水管理单位隐瞒、缓报、谎报水质突发事件或者水质信息的；
　　（八）违反本规定，有危害城市供水水质安全的其他行为的。",11441900007330248L3440214277000,行政处罚,
30,东莞市水务局,对新建、扩建、改建城市供水工程，未按国家规定的基本建设程序报批进行建设；１０万立方米／日以上（含１０万立方米／日）规模或投资额５０００万元以上（含５０００万元）的供水工程，未由省建设行政主管部门组织初步设计审查和竣工验收；１０万立方米／日以下规模或投资额５０００万元以下的供水工程，未由地级市建设行政主管部门组织初步设计审查和竣工验收；新建、扩建、改建的工程项目，未按规定配套建设节约用水设施，节约用水设施不符合国家规定的标准并未经建设行政主管部门验收；城市新建、扩建供水工程竣工时，建设单位未向建设行政主管部门申报验收，建设行政主管部门未组织有关部门和供水企业进行验收；新建供水工程未经验收或验收不合格，即进行资质申报的行政处罚,"《广东省城市供水管理规定》第八条　新建、扩建、改建城市供水工程，按国家规定的基本建设程序报批后，方可进行建设。10万立方米/日以上（含10万立方米/日）规模或投资额5000万元以上（含5000万元）的供水工程，必须由省建设行政主管部门组织初步设计审查和竣工验收。10万立方米/日以下规模或投资额5000万元以下的供水工程，由地级市建设行政主管部门组织初步设计审查和竣工验收。
新建、扩建、改建的工程项目，应按规定配套建设节约用水设施，节约用水设施应符合国家规定的标准并经建设行政主管部门验收。
第三十条对违反本规定以下条款者，由县以上建设行政主管部门予以处罚：
（一）违反本规定第八、十二条的，责令补办验收手续；经验收不合格的，责令限期整改，处以1万元以上3万元以下罚款；
（二）违反本规定第十一条的，处以2万元以上3万元以下罚款；
（三）违反本规定第十五、十六、二十一条的，责令恢复原状，处以1000元以上1万元以下罚款，造成经济损失的应予以赔偿。",11441900007330248L3440214278000,行政处罚,
31,东莞市水务局,对从事城市供水工程设计和施工的单位不具备相应的资质证书从事城市供水工程设计和施工；建设单位未委托有相应设计和施工资质的单位从事城市供水工程的设计和施工；未按照有关的设计、施工技术标准、规范进行城市供水工程的设计和施工的行政处罚,"《广东省城市供水管理规定》第十一条　从事城市供水工程设计和施工的单位，必须有相应的资质证书。建设单位应委托有相应设计和施工资质的单位从事城市供水工程的设计和施工。
城市供水工程的设计和施工，必须按照有关的设计、施工技术标准、规范进行。
第三十条对违反本规定以下条款者，由县以上建设行政主管部门予以处罚：
（一）违反本规定第八、十二条的，责令补办验收手续；经验收不合格的，责令限期整改，处以1万元以上3万元以下罚款；
（二）违反本规定第十一条的，处以2万元以上3万元以下罚款；
（三）违反本规定第十五、十六、二十一条的，责令恢复原状，处以1000元以上1万元以下罚款，造成经济损失的应予以赔偿。
",11441900007330248L3440214279000,行政处罚,
32,东莞市水务局,对在城市供水管道及其附属设施的地表和地下规定的安全保护距离范围内，修建任何建筑物、构筑物，堆放物料或进行其他危害供水设施的活动；涉及城市供水设施的建设工程开工前，建设单位或施工单位未向城市供水企业查明地下供水管网情况，影响城市供水设施安全，未与城市供水企业商定相应的保护措施的行政处罚,"《广东省城市供水管理规定》第十五条　在城市供水管道及其附属设施的地表和地下规定的安全保护距离范围内，严禁修建任何建筑物、构筑物，堆放物料或进行其他危害供水设施的活动，涉及城市供水设施的建设工程开工前，建设单位或施工单位应当向城市供水企业查明地下供水管网情况，影响城市供水设施安全的，应与城市供水企业商定相应的保护措施，由施工单位负责实施。
第三十条对违反本规定以下条款者，由县以上建设行政主管部门予以处罚：
（一）违反本规定第八、十二条的，责令补办验收手续；经验收不合格的，责令限期整改，处以1万元以上3万元以下罚款；
（二）违反本规定第十一条的，处以2万元以上3万元以下罚款；
（三）违反本规定第十五、十六、二十一条的，责令恢复原状，处以1000元以上1万元以下罚款，造成经济损失的应予以赔偿。
",11441900007330248L3440214280000,行政处罚,
